Symbol,Name,IndustryCode,Industry,Market,Sector
AAPL,Apple Inc,57106020,전화 및 소형 장치,NASDAQ,
NVDA,NVIDIA Corp,57101010,반도체,NASDAQ,
MSFT,Microsoft Corp,57201020,소프트웨어,NASDAQ,
AMZN,Amazon.com Inc,53402010,백화점,NASDAQ,
META,Meta Platforms Inc,57201030,온라인 서비스,NASDAQ,
GOOGL,Alphabet Inc Class A,57201030,온라인 서비스,NASDAQ,
GOOG,Alphabet Inc Class C,57201030,온라인 서비스,NASDAQ,
AVGO,Broadcom Inc,57101010,반도체,NASDAQ,
TSLA,Tesla Inc,53101010,자동차 및 트럭 제조,NASDAQ,
COST,Costco Wholesale Corp,53402020,할인점,NASDAQ,
NFLX,Netflix Inc,57201030,온라인 서비스,NASDAQ,
TMUS,T-Mobile US Inc,57401020,무선 통신 서비스,NASDAQ,
ASML,ASML Holding NV ADR,57101020,반도체 장비 및 테스트,NASDAQ,
CSCO,Cisco Systems Inc,57102010,통신 및 네트워킹,NASDAQ,
AZN,AstraZeneca PLC ADR,56201040,제약,NASDAQ,
LIN,Linde PLC,51101010,상품 화학,NASDAQ,
PEP,PepsiCo Inc,54101030,무알콜 음료,NASDAQ,
PLTR,Palantir Technologies Inc,57201020,소프트웨어,NASDAQ,
PDD,PDD Holdings Inc ADR,57201030,온라인 서비스,NASDAQ,
ISRG,Intuitive Surgical Inc,56101010,첨단 의료 장비 및 기술,NASDAQ,
QCOM,Qualcomm Inc,57101010,반도체,NASDAQ,
ADBE,Adobe Inc,57201020,소프트웨어,NASDAQ,
AMGN,Amgen Inc,56201040,제약,NASDAQ,
AMD,Advanced Micro Devices Inc,57101010,반도체,NASDAQ,
INTU,Intuit Inc,57301010,핀테크,NASDAQ,
TXN,Texas Instruments Inc,57101010,반도체,NASDAQ,
BKNG,Booking Holdings Inc,53301040,여가 및 오락시설,NASDAQ,
SNY,Sanofi SA ADR,56201040,제약,NASDAQ,
GILD,Gilead Sciences Inc,56201040,제약,NASDAQ,
HON,Honeywell International Inc,54401010,소비재 대기업,NASDAQ,
CMCSA,Comcast Corp,57401020,무선 통신 서비스,NASDAQ,
VRTX,Vertex Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구,NASDAQ,
ARM,Arm Holdings PLC ADR,57101010,반도체,NASDAQ,
AMAT,Applied Materials Inc,57101020,반도체 장비 및 테스트,NASDAQ,
PANW,Palo Alto Networks Inc,57201020,소프트웨어,NASDAQ,
ADP,Automatic Data Processing Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
MU,Micron Technology Inc,57101010,반도체,NASDAQ,
SBUX,Starbucks Corp,53301020,레스토랑 및 바,NASDAQ,
INTC,Intel Corp,57101010,반도체,NASDAQ,
MELI,MercadoLibre Inc,57201030,온라인 서비스,NASDAQ,
ADI,Analog Devices Inc,57101010,반도체,NASDAQ,
APP,Applovin Corp,57201020,소프트웨어,NASDAQ,
LRCX,Lam Research Corp,57101020,반도체 장비 및 테스트,NASDAQ,
KLAC,KLA Corp,57101020,반도체 장비 및 테스트,NASDAQ,
CME,CME Group Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",NASDAQ,
CRWD,CrowdStrike Holdings Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
MDLZ,Mondelez International Inc,54102020,식품 가공,NASDAQ,
EQIX,Equinix Inc,60102040,특수 REITs,NASDAQ,
ABNB,Airbnb Inc,57201030,온라인 서비스,NASDAQ,
DASH,DoorDash Inc,57201030,온라인 서비스,NASDAQ,
CTAS,Cintas Corp,52203040,경영 지원 서비스,NASDAQ,
TRI,Thomson Reuters Corp,52203070,전문 정보 서비스,NASDAQ,
ORLY,O'Reilly Automotive Inc,53403010,"자동차 차량, 부품 및 서비스 소매",NASDAQ,
MSTR,Microstrategy Inc,57201020,소프트웨어,NASDAQ,
FTNT,Fortinet Inc,57201020,소프트웨어,NASDAQ,
REGN,Regeneron Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구,NASDAQ,
IBKR,Interactive Brokers Group Inc,55102010,투자 은행 및 중개 서비스,NASDAQ,
SNPS,Synopsys Inc,57201020,소프트웨어,NASDAQ,
CDNS,Cadence Design Systems Inc,57201020,소프트웨어,NASDAQ,
PYPL,PayPal Holdings Inc,52203040,경영 지원 서비스,NASDAQ,
MAR,Marriott International Inc,53301010,"호텔, 모텔 및 크루즈 라인",NASDAQ,
CEG,Constellation Energy Corp,59101010,전력 유틸리티,NASDAQ,
WDAY,Workday Inc,57201020,소프트웨어,NASDAQ,
NTES,NetEase Inc ADR,57201030,온라인 서비스,NASDAQ,
JD,JD.Com Inc ADR,53402010,백화점,NASDAQ,
ROP,Roper Technologies Inc,57201020,소프트웨어,NASDAQ,
MRVL,Marvell Technology Inc,57101010,반도체,NASDAQ,
TEAM,Atlassian Corp,57201020,소프트웨어,NASDAQ,
CSX,CSX Corp,52405030,지상 화물 및 물류,NASDAQ,
AEP,American Electric Power Company Inc,59101010,전력 유틸리티,NASDAQ,
CHTR,Charter Communications Inc,57401010,통합 통신 서비스,NASDAQ,
ADSK,Autodesk Inc,57201020,소프트웨어,NASDAQ,
MNST,Monster Beverage Corp,54101030,무알콜 음료,NASDAQ,
PAYX,Paychex Inc,52203030,고용 서비스,NASDAQ,
NXPI,NXP Semiconductors NV,57101010,반도체,NASDAQ,
PCAR,Paccar Inc,52102020,중장비 및 차량,NASDAQ,
CPRT,Copart Inc,57201030,온라인 서비스,NASDAQ,
COIN,Coinbase Global Inc,57301030,블록 체인 및 암호화폐,NASDAQ,
KDP,Keurig Dr Pepper Inc,54101030,무알콜 음료,NASDAQ,
EXC,Exelon Corp,59101010,전력 유틸리티,NASDAQ,
FANG,Diamondback Energy Inc,50102020,"오일, 가스 탐사 및 생산",NASDAQ,
FAST,Fastenal Co,52102010,산업용 기계 및 장비,NASDAQ,
BKR,Baker Hughes Co,50103020,오일 관련 서비스 및 장비,NASDAQ,
TCOM,Trip.com Group Ltd ADR,53301040,여가 및 오락시설,NASDAQ,
AXON,Axon Enterprise Inc,52101010,항공우주 및 방위,NASDAQ,
NDAQ,Nasdaq Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",NASDAQ,
ROST,Ross Stores Inc,53403040,의류 및 액세서리 소매,NASDAQ,
VRSK,Verisk Analytics Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
XEL,Xcel Energy Inc,59101010,전력 유틸리티,NASDAQ,
LULU,Lululemon Athletica Inc,53202020,의류 및 액세서리,NASDAQ,
CTSH,Cognizant Technology Solutions Corp,57201010,IT 서비스 및 컨설팅,NASDAQ,
TFINP,Triumph Financial 40 Dep Shs Repstg 1 Perp Non Cum 7 125  Pref Shs Series C,55101010,은행,NASDAQ,
CCEP,Coca-Cola Europacific Partners PLC,54101030,무알콜 음료,NASDAQ,
GEHC,GE Healthcare Technologies Inc,56101010,첨단 의료 장비 및 기술,NASDAQ,
EA,Electronic Arts Inc,57201020,소프트웨어,NASDAQ,
HOOD,Robinhood Markets Inc,57301010,핀테크,NASDAQ,
ARGX,argenx SE ADR,56202010,생명 공학 및 의학 연구,NASDAQ,
KHC,Kraft Heinz Co,54102020,식품 가공,NASDAQ,
TTWO,Take-Two Interactive Software Inc,57201020,소프트웨어,NASDAQ,
BIDU,Baidu Inc ADR,57201030,온라인 서비스,NASDAQ,
ACGL,Arch Capital Group Ltd,55301020,손해보험,NASDAQ,
DDOG,Datadog Inc,57201020,소프트웨어,NASDAQ,
ODFL,Old Dominion Freight Line Inc,52405030,지상 화물 및 물류,NASDAQ,
IDXX,IDEXX Laboratories Inc,56101020,"의료 장비, 물품 및 유통",NASDAQ,
CSGP,CoStar Group Inc,57201030,온라인 서비스,NASDAQ,
ALNY,Alnylam Pharmaceuticals Inc,56201040,제약,NASDAQ,
WTW,Willis Towers Watson PLC,55301010,복합보험 및 중개인,NASDAQ,
FER,Ferrovial SE,52201020,건설 및 엔지니어링,NASDAQ,
EBAY,eBay Inc,57201030,온라인 서비스,NASDAQ,
ZS,Zscaler Inc,57201020,소프트웨어,NASDAQ,
MPWR,Monolithic Power Systems Inc,57101010,반도체,NASDAQ,
TW,Tradeweb Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",NASDAQ,
MCHP,Microchip Technology Inc,57101010,반도체,NASDAQ,
LI,Li Auto Inc ADR,53101010,자동차 및 트럭 제조,NASDAQ,
ANSS,ANSYS Inc,57201020,소프트웨어,NASDAQ,
TSCO,Tractor Supply Co,53403090,기타 전문 소매,NASDAQ,
TTD,Trade Desk Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
DXCM,Dexcom Inc,56101020,"의료 장비, 물품 및 유통",NASDAQ,
ONC,Beigene Ltd ADR,56202010,생명 공학 및 의학 연구,NASDAQ,
FITB,Fifth Third Bancorp,55101010,은행,NASDAQ,
WBD,Warner Bros Discovery Inc,53302020,방송,NASDAQ,
RYAAY,Ryanair Holdings PLC ADR,52406010,항공사,NASDAQ,
CHKP,Check Point Software Technologies Ltd,57201020,소프트웨어,NASDAQ,
ERIC,Telefonaktiebolaget LM Ericsson ADR,57102010,통신 및 네트워킹,NASDAQ,
FCNCA,First Citizens BancShares Inc (Delaware),55101010,은행,NASDAQ,
SMCI,Super Micro Computer Inc,57106010,컴퓨터 하드웨어,NASDAQ,
VOD,Vodafone Group PLC ADR,57401020,무선 통신 서비스,NASDAQ,
EXE,Expand Energy Corp,50102020,"오일, 가스 탐사 및 생산",NASDAQ,
LPLA,LPL Financial Holdings Inc,55102010,투자 은행 및 중개 서비스,NASDAQ,
BNTX,Biontech SE ADR,56202010,생명 공학 및 의학 연구,NASDAQ,
UAL,United Airlines Holdings Inc,52406010,항공사,NASDAQ,
SBAC,SBA Communications Corp,60102040,특수 REITs,NASDAQ,
CINF,Cincinnati Financial Corp,55301020,손해보험,NASDAQ,
ZM,Zoom Communications Inc,57201020,소프트웨어,NASDAQ,
CDW,CDW Corp,57107010,통합 하드웨어 및 소프트웨어,NASDAQ,
VRSN,VeriSign  Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
ERIE,Erie Indemnity Co,55301020,손해보험,NASDAQ,
HBAN,Huntington Bancshares Inc,55101010,은행,NASDAQ,
EXPE,Expedia Group Inc,53301040,여가 및 오락시설,NASDAQ,
GFS,GlobalFoundries Inc,57101020,반도체 장비 및 테스트,NASDAQ,
BIIB,Biogen Inc,56201040,제약,NASDAQ,
TROW,T Rowe Price Group Inc,55102020,투자 관리 및 펀드 운영,NASDAQ,
SSNC,SS&C Technologies Holdings Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
NTRA,Natera Inc,56102010,의료 시설 및 서비스,NASDAQ,
OKTA,Okta Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
FWONK,Liberty Media Formula One Ord Shs Series C,53302020,방송,NASDAQ,
NTRS,Northern Trust Corp,55102020,투자 관리 및 펀드 운영,NASDAQ,
STX,Seagate Technology Holdings PLC,57106010,컴퓨터 하드웨어,NASDAQ,
PTC,PTC Inc,57201020,소프트웨어,NASDAQ,
RPRX,Royalty Pharma PLC,56201040,제약,NASDAQ,
DKNG,Draftkings Inc,53301030,카지노 및 도박,NASDAQ,
NTAP,NetApp Inc,57106010,컴퓨터 하드웨어,NASDAQ,
NTNX,Nutanix Inc,57201010,IT 서비스 및 컨설팅,NASDAQ,
KSPI,Kaspi.kz AO ADR,57301010,핀테크,NASDAQ,
