Symbol,Name,IndustryCode,Industry,Sector
IMO,Imperial Oil Ltd,50102030,"오일, 가스 정제 및 마케팅",
CBOE,Cboe Global Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",
PHYS,Sprott Physical Gold Trust,55501030,폐쇄형 펀드,
PSLV,Sprott Physical Silver Trust USD,55501030,폐쇄형 펀드,
CEF,Sprott Physical Gold and Silver Trust USD,55501030,폐쇄형 펀드,
BTG,B2Gold Corp,51201060,금,
SIM,Grupo Simec SAB de CV ADR,51201020,철 및 강철,
EQX,Equinox Gold Corp,51201060,금,
ORLA,Orla Mining Ltd,51201060,금,
UTG,Reaves Utility Income Closed Fund,55501030,폐쇄형 펀드,
NGD,New Gold Inc,51201060,금,
SEB,Seaboard Corp,54102020,식품 가공,
PRK,Park National Corp,55101010,은행,
UEC,Uranium Energy Corp,50301010,우라늄,
CLM,Cornerstone Strategic Investment Fund，Inc.,55501030,폐쇄형 펀드,
MAG,MAG Silver Corp,51201010,금 제외 귀금속 및 광물,
TIC,Acuren Corp,52203040,경영 지원 서비스,
NHC,National Healthcare Corp,56102010,의료 시설 및 서비스,
DNN,Denison Mines Corp,50301010,우라늄,
CET,Central Securities Closed Fund,55501030,폐쇄형 펀드,
LEU,Centrus Energy Corp,50301010,우라늄,
EVV,Eaton Vance Limited Duration Income Closed Fund,55501030,폐쇄형 펀드,
NG,NovaGold Resources Inc,51201060,금,
TMP,Tompkins Financial Corp,55101010,은행,
SVM,Silvercorp Metals Inc,51201010,금 제외 귀금속 및 광물,
UUUU,Energy Fuels Inc,50301010,우라늄,
EXOD,Exodus Movement Inc,57201020,소프트웨어,
CRF,Cornerstone Total Return Closed Fund,55501030,폐쇄형 펀드,
IE,Ivanhoe Electric Inc,51201080,다각적 채굴,
ARMN,Aris Mining Corp,51201060,금,
TGB,Taseko Mines Ltd,51201050,특수 채굴 및 금속,
CNL,Collective Mining Ltd,51201080,다각적 채굴,
VZLA,Vizsla Silver Corp,51201080,다각적 채굴,
GGN,GAMCO Global Gold Natural Resources and Income Closed Fund,55501030,폐쇄형 펀드,
FAX,Abrdn Asia Pacific Income Closed End Fund,55501030,폐쇄형 펀드,
REPX,Riley Exploration Permian Inc,50102020,"오일, 가스 탐사 및 생산",
SLSR,Solaris Resources Inc,51201080,다각적 채굴,
EIM,Eaton Vance Municipal Bond Closed Fund,55501030,폐쇄형 펀드,
NML,Neuberger Berman Energy Infrastructure and Income Closed End Fund Inc,55501030,폐쇄형 펀드,
BHB,Bar Harbor Bankshares,55101010,은행,
NSTB.U,Northern Star Investment Redeemable Units,55601010,투자 지주 회사,
PLM,Polymet Mining Corp,51201080,다각적 채굴,
EAD,Allspring Income Opportunities Mutual Fund,55501030,폐쇄형 펀드,
OBE,Obsidian Energy Ltd,50102020,"오일, 가스 탐사 및 생산",
KULR,KULR Technology Group Inc,52102030,전기 부품 및 장비,
SENS,Senseonics Holdings Inc,56101020,"의료 장비, 물품 및 유통",
VKI,Invesco Advantage Municipal Inc Tr II,55501030,폐쇄형 펀드,
