Symbol,Name,IndustryCode,Industry,Sector
MMM,3M,,Industrial Conglomerates,Industrials
AOS,A. O. Smith,,Building Products,Industrials
ABT,Abbott Laboratories,,Health Care Equipment,Health Care
ABBV,AbbVie,,Biotechnology,Health Care
ACN,Accenture,,IT Consulting & Other Services,Information Technology
ADBE,Adobe Inc.,,Application Software,Information Technology
AMD,Advanced Micro Devices,,Semiconductors,Information Technology
AES,AES Corporation,,Independent Power Producers & Energy Traders,Utilities
AFL,Aflac,,Life & Health Insurance,Financials
A,Agilent Technologies,,Life Sciences Tools & Services,Health Care
APD,Air Products,,Industrial Gases,Materials
ABNB,Airbnb,,"Hotels, Resorts & Cruise Lines",Consumer Discretionary
AKAM,Akamai Technologies,,Internet Services & Infrastructure,Information Technology
ALB,Albemarle Corporation,,Specialty Chemicals,Materials
ARE,Alexandria Real Estate Equities,,Office REITs,Real Estate
ALGN,Align Technology,,Health Care Supplies,Health Care
ALLE,Allegion,,Building Products,Industrials
LNT,Alliant Energy,,Electric Utilities,Utilities
ALL,Allstate,,Property & Casualty Insurance,Financials
GOOGL,Alphabet Inc. (Class A),,Interactive Media & Services,Communication Services
GOOG,Alphabet Inc. (Class C),,Interactive Media & Services,Communication Services
MO,Altria,,Tobacco,Consumer Staples
AMZN,Amazon,,Broadline Retail,Consumer Discretionary
AMCR,Amcor,,Paper & Plastic Packaging Products & Materials,Materials
AEE,Ameren,,Multi-Utilities,Utilities
AEP,American Electric Power,,Electric Utilities,Utilities
AXP,American Express,,Consumer Finance,Financials
AIG,American International Group,,Multi-line Insurance,Financials
AMT,American Tower,,Telecom Tower REITs,Real Estate
AWK,American Water Works,,Water Utilities,Utilities
AMP,Ameriprise Financial,,Asset Management & Custody Banks,Financials
AME,Ametek,,Electrical Components & Equipment,Industrials
AMGN,Amgen,,Biotechnology,Health Care
APH,Amphenol,,Electronic Components,Information Technology
ADI,Analog Devices,,Semiconductors,Information Technology
ANSS,Ansys,,Application Software,Information Technology
